"filename", "language", "Python", "HTML", "CSS", "XML", "JavaScript", "Markdown", "JSON", "Properties", "reStructuredText", "C", "PowerShell", "comment", "blank", "total"
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\flask\json\__init__.py", "Python", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 188, 41, 343
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\flask\json\provider.py", "Python", 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 53, 311
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\flask\json\tag.py", "Python", 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 72, 313
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\flask\logging.py", "Python", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 19, 75
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\flask\scaffold.py", "Python", 341, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 452, 106, 899
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\flask\sessions.py", "Python", 187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 169, 64, 420
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\flask\signals.py", "Python", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 13, 57
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\flask\templating.py", "Python", 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 40, 213
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\flask\testing.py", "Python", 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 40, 287
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\flask\typing.py", "Python", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 10, 81
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\flask\views.py", "Python", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 27, 189
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\flask\wrappers.py", "Python", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 31, 172
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\itsdangerous-2.1.2.dist-info\LICENSE.rst", "reStructuredText", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 6, 29
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\itsdangerous\__init__.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
